scene	status	reason	pair_cost	ns_filtered_index	pc_filtered_index	ns_file	ns_length_offset	ns_text_offset	ns_source	ns_kind	pc_file	pc_string_index	pc_translation	pc_kind
1020	high-candidate	type+length+bidirectional-continuity	0.1424	10	10	Script/scr1020.binu8	86385	86389	@vv90101「見て、アヴェルラ様よ」	D	1020.gsc	12	「快看，是阿薇拉小姐哦」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0654	11	11	Script/scr1020.binu8	86454	86458	@vv91101「いつ見てもお美しいわね。どこにいたって絵のようだわ」	D	1020.gsc	14	「无论什么时候看都很美。不管身在何处都像画一般啊」	D
1020	high-candidate	type+length+bidirectional-continuity	0.2683	12	12	Script/scr1020.binu8	86548	86552	花壇のふもとを通りかかった生徒たちが、少女──アヴェルラの姿を認めると、ため息混じりに囁きを交わした。	N	1020.gsc	15	经过花坛脚下的学生们认出了阿薇拉的身姿，交头接耳地感叹起来。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0825	13	13	Script/scr1020.binu8	86706	86710	惹かれてはいるが、近づきがたい。生徒たちの足は、そんな意思を宿して、舗装路に縫い止められている。	N	1020.gsc	16	被其吸引，却难以接近。学生们的步伐寄宿着这般的意志，驻足在柏油路上。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0399	14	14	Script/scr1020.binu8	86855	86859	アヴェルラはまさに、美しい薔薇のような存在だ。	N	1020.gsc	17	阿薇拉，正是犹如蔷薇般美丽的存在。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0535	15	15	Script/scr1020.binu8	86929	86933	眺めている分には美しいが、いざ手を伸ばしたら──と考えると、棘の刺さる痛みを予感して身がすくむ。	N	1020.gsc	18	远观欣赏的话自然美丽，但若想亵玩──仅是被刺痛的预感就会让人不寒而栗。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	16	16	Script/scr1020.binu8	87078	87082	@vv90102「やっぱり、エヴァーメイデンに選ばれるのはきっとあの方よ」	D	1020.gsc	20	「果然，能被选中为|永恒少女[Ｅｖｅｒ　Ｍａｉｄｅｎ]的人一定是她吧」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1285	17	17	Script/scr1020.binu8	87178	87182	@vv91102「ええ、間違いないでしょうね」	D	1020.gsc	22	「嗯，肯定没错的」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0800	18	18	Script/scr1020.binu8	87236	87240	@r安@・@@r全@・@な立ち位置から憧憬のまなざしを送りながら、ふたりの生徒がうっとりと会話を交わす。	N	1020.gsc	23	两名学生一边在|安全[··]的位置投去憧憬的目光，一边交谈着彼此对阿薇拉的倾慕。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1315	19	19	Script/scr1020.binu8	87381	87385	その@r傍@かたわ@らでは、もうひとりの生徒が青白い顔をして、痛みに備えるように拳を握りしめていた。	N	1020.gsc	24	在她们旁边，另一名学生脸色苍白，像要防备疼痛一般紧紧握拳。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	20	20	Script/scr1020.binu8	87548	87552	@vv93101「ああ、どうしよう。アヴェルラ様、さっきからずっと私の薔薇の前にいらっしゃるの」	D	1020.gsc	26	「啊啊，怎么办。阿薇拉小姐从刚才开始就一直站在我的蔷薇前」	D
1020	high-candidate	type+length+bidirectional-continuity	0.2601	21	21	Script/scr1020.binu8	87681	87685	@vv90103「あら。お眼鏡に適うといいわね」	D	1020.gsc	28	「啊啦。要是能受到她的赏识就好了呢」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0000	22	22	Script/scr1020.binu8	87742	87746	@vv91103「どうかしら。なかなかに難しいお顔のようにも見えるけど」	D	1020.gsc	30	「会是怎样呢。看她的表情好像不是很开心的样子」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0471	23	23	Script/scr1020.binu8	87850	87854	@vv93102「……アヴェルラ様！」	D	1020.gsc	32	「……阿薇拉小姐！」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0331	24	24	Script/scr1020.binu8	87896	87900	友人たちの気楽な囁きの渦から、顔をこわばらせた生徒が進み出て、アヴェルラに声をかけた。	N	1020.gsc	33	在朋友们轻松的窃窃私语中，脸色僵硬的学生走上前来，向阿薇拉搭话。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0639	25	25	Script/scr1020.binu8	88030	88034	決意に溢れた足取りだったが、アヴェルラの真紅の瞳に出会った瞬間、歩き方を忘れたように止まってしまう。	N	1020.gsc	34	虽然步伐彰显着决心，但一与阿薇拉的赤红双眸对视，就如忘记了走路方法一样止步不前了。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0088	26	26	Script/scr1020.binu8	88205	88209	@vv20102「……おはよう」	D	1020.gsc	36	「……早上好」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0876	27	27	Script/scr1020.binu8	88242	88246	@vv93103「お……おはようございます……」	D	1020.gsc	38	「早……早上好……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1193	28	28	Script/scr1020.binu8	88303	88307	かすれた声で返しながら、生徒は力の抜けた足をぐっと踏み直す。	N	1020.gsc	39	那名学生一边用沙哑的声音回答着，一边迈出千斤重的脚。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	29	29	Script/scr1020.binu8	88398	88402	@vv93104「あの……アヴェルラ様。その薔薇に、なにかお気に召さない点でもありましたでしょうか？」	D	1020.gsc	41	「那个……阿薇拉小姐。您对那朵蔷薇，有什么不满意的地方吗？」	D
1020	high-candidate	type+length+bidirectional-continuity	0.3108	30	30	Script/scr1020.binu8	88540	88544	@vv20103「これはあなたが咲かせたもの？」	D	1020.gsc	43	「这是你的花？」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1424	31	31	Script/scr1020.binu8	88601	88605	@vv93105「は、はい」	D	1020.gsc	45	「是、是的」	D
1020	high-candidate	type+length+bidirectional-continuity	0.2965	32	32	Script/scr1020.binu8	88632	88636	@vv20104「そう……」	D	1020.gsc	47	「这样啊……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0081	33	33	Script/scr1020.binu8	88681	88685	アヴェルラはふつりと言葉を切って、再び視線を薔薇の上に落とす。金色の長い睫毛が、赤い瞳を@r煙@けぶ@らせる。	N	1020.gsc	48	阿薇拉忽然闭口不言，再度将视线落到蔷薇上。金色的长睫毛使赤红的眼眸朦胧不清。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0854	34	34	Script/scr1020.binu8	88843	88847	生徒の胸の奥の天秤は、恐怖と陶酔の@r多寡@たか@を測りかねて、せわしなく揺れ動いた。	N	1020.gsc	49	学生内心深处的天平，难以分出恐怖和陶醉的重量几何，不断摇摆着。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	35	35	Script/scr1020.binu8	88969	88973	@vv20105「@r鋸葉@のこば@が深いのは好ましいわ。けれど花弁は、ほんの少しだけ不揃いね」	D	1020.gsc	51	「我喜欢这种锯叶的深烈。不过花瓣的话，就有点不整齐了呢」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0000	36	36	Script/scr1020.binu8	89094	89098	@vv20106「薔薇という花は世界の象徴。均衡に気を配りなさい」	D	1020.gsc	53	「蔷薇是世界的象征。请注意保持均整」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0000	37	37	Script/scr1020.binu8	89182	89186	@vv93106「は……はい」	D	1020.gsc	55	「是……是」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1033	38	38	Script/scr1020.binu8	89216	89220	花弁の均整には自信があったが、アヴェルラの目には@r瑕疵@かし@があったようだ。	N	1020.gsc	56	虽然她对自己花瓣的匀整很有自信，但在阿薇拉的眼中仍有瑕疵。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1233	39	39	Script/scr1020.binu8	89333	89337	しかし落胆よりも安堵のほうが大きかった。覚悟していたよりもずっと穏当でありきたりな指摘だったからだ。	N	1020.gsc	57	但比起沮丧还是安心感更强烈。因为这是要比预想中温和很多的普通的指摘。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0778	40	40	Script/scr1020.binu8	89488	89492	@vv93107「ご忠告痛みいります。……あっ」	D	1020.gsc	59	「对您的忠告不胜惶恐。……啊」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0588	41	41	Script/scr1020.binu8	89549	89553	しかし生徒は、つかの間の安堵から一転、うわずった小さな声をあげる羽目になる。	N	1020.gsc	60	但是那名学生随即从瞬间的安心，一转陷入只能发出小声尖叫的窘境。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1431	42	42	Script/scr1020.binu8	89668	89672	アヴェルラがすっと身を屈め、@r件@くだん@の薔薇に顔を寄せたのだ。	N	1020.gsc	61	阿薇拉突然俯下身，将脸贴近那朵蔷薇。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0943	43	43	Script/scr1020.binu8	89767	89771	まさにもうひとつの花弁のように艶やかな赤い唇が、花に触れるか触れないかの位置まで近づいた、その瞬間。	N	1020.gsc	62	艳丽的红唇如同另一片花瓣般，靠近到与花朵若即若离的位置，就在那个瞬间。	N
1020	review	type+length	0.2019	44	44	Script/scr1020.binu8	89933	89937	この日はじめての微風があたりをそよがせて、薔薇が身悶えるように揺れた。	N	1020.gsc	63	这一天的第一缕微风轻拂而过，蔷薇摇曳起身体。	N
1020	pc-only	no-ns-pair			45						1020.gsc	64	在那一刹那，唇与花瓣重合了──^n	N
1020	review	type+length	0.5760	45	46	Script/scr1020.binu8	90043	90047	その拍子に、唇と花弁が重なった──@n@p少なくとも、生徒の目にはそう見えた。	N	1020.gsc	65	至少，在那名学生的眼中是这样的。	N
1020	high-candidate	type+length+bidirectional-continuity	0.2157	46	47	Script/scr1020.binu8	90157	90161	生徒は、アヴェルラの唇の柔らかな手応えを、自らの手の甲で受けたような気がして、ゾクリと身をすくめる。	N	1020.gsc	66	就像手背上也感受到了阿薇拉嘴唇的柔软触感，学生的身体一阵颤栗。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	47	48	Script/scr1020.binu8	90312	90316	@vv20107「ただ、香りは悪くないわ。もう少し控えめにしたほうが上品かもしれないけれど」	D	1020.gsc	68	「不过，香味还挺不错的。再稍微低调一些可能就更加上品了」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1930	48	49	Script/scr1020.binu8	90439	90443	@vv93108「あ……ありがとうござい、ます」	D	1020.gsc	70	「非……非常感谢」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0253	49	50	Script/scr1020.binu8	90500	90504	自分でも@r滑稽@こっけい@に思うほどぎこちない返答だったが、アヴェルラは身を起こしながら、柔らかな微笑を浮かべている。	N	1020.gsc	71	就算是连学生自己都觉得滑稽可笑的笨拙回答，但阿薇拉还是带着柔和的微笑直起身来。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	50	51	Script/scr1020.binu8	90677	90681	@vv20108「いいお返事ね。次に咲かせる花も楽しみだわ」	D	1020.gsc	73	「不错的回答呢。期待你下一次绽放的花」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0696	51	52	Script/scr1020.binu8	90756	90760	@vv20109「では、ごきげんよう」	D	1020.gsc	75	「那么，贵安」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1431	52	53	Script/scr1020.binu8	90802	90806	去っていくアヴェルラを、生徒は@r惚@ほう@けた顔をして見送った。	N	1020.gsc	76	学生带着恍惚的表情目送着阿薇拉离去。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0260	53	54	Script/scr1020.binu8	90898	90902	その頬は先ほどの青白さから一点、薔薇から色をもらったかのように紅潮している。	N	1020.gsc	77	她的脸颊比起刚才的苍白多了一丝红晕，仿佛从蔷薇处取得了颜色。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0639	54	55	Script/scr1020.binu8	91017	91021	@vv90104「やるじゃない！　アヴェルラ様に認められるなんて」	D	1020.gsc	79	「有你的嘛！能被阿薇拉小姐认可」	D
1020	high-candidate	type+length+bidirectional-continuity	0.3175	55	56	Script/scr1020.binu8	91105	91109	いつまでも置き物のように突っ立っているその背を、友人が手荒く叩く。返ってきたのは@r胡乱@うろん@な呻き声だった。	N	1020.gsc	80	一直僵直着的背被朋友随意拍打。回应朋友的是混乱的呻吟声。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0231	56	57	Script/scr1020.binu8	91273	91277	@vv91104「アヴェルラ様があんなにご機嫌になるなんて、めったにないことよ。もっと喜びなさいよ」	D	1020.gsc	82	「阿薇拉小姐居然会那么开心，这可很难得哦。你再高兴点啊」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0000	57	58	Script/scr1020.binu8	91412	91416	@vv93109「え、ええ……。頭がぼうっとしてしまって……」	D	1020.gsc	84	「嗯，嗯……。我脑子愣住了……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0000	58	59	Script/scr1020.binu8	91494	91498	@vv90105「あなた、目を開けて夢を見ているような顔をしてるわ。無理もないけどね」	D	1020.gsc	86	「你呀，一副做了白日梦的样子呢。虽然也不奇怪就是了」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1139	59	60	Script/scr1020.binu8	91612	91616	そうからかう友人たちの瞳には、色濃い羨望が揺らめいていた。	N	1020.gsc	87	那些调侃着她的朋友们的眼中，荡漾着深深的羡慕之色。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0661	60	61	Script/scr1020.binu8	91704	91708	図書館には、時から取り残されたような静寂があった。	N	1020.gsc	88	图书馆中一片寂静，仿佛被时光所遗忘。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0399	61	62	Script/scr1020.binu8	91784	91788	外と内、二重の円形に@r聳@そび@える壁には、本棚がぎっしりと@r設@しつら@えられており、来訪者に圧しかかるようだ。	N	1020.gsc	89	外与内，耸立着两重圆形墙壁，其上陈设着密密麻麻的书架，压迫着来访者。	N
1020	high-candidate	type+length+bidirectional-continuity	0.2919	62	63	Script/scr1020.binu8	91950	91954	書棚には、その内に膨大な言葉を呑みこんだ書物たちが、しかつめらしい表題だけを掲げて並んでいる。	N	1020.gsc	90	饱含知识的书籍只露出书脊的标题，一板一眼地排放在架内。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1424	63	64	Script/scr1020.binu8	92110	92114	@vv30101「…………」	D	1020.gsc	92	「…………」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1431	64	65	Script/scr1020.binu8	92141	92145	夜が明けるや否や図書室を訪れた、ただひとりの客人も、端正な唇を引き結んで言葉を発することはない。	N	1020.gsc	93	天刚亮就到访了图书室的唯一的客人，也紧闭着她端庄的双唇一言不发。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0943	65	66	Script/scr1020.binu8	92290	92294	深い静寂にただひとつ響くのは、紙と紙とがこすれあう音だけだ。	N	1020.gsc	94	在深沉的寂静中唯一响起的是书页摩擦的声音。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1171	66	67	Script/scr1020.binu8	92396	92400	頁をめくるついでに、すんなりと伸びた白い指が、燃えるような赤毛をかきあげる。	N	1020.gsc	95	在翻阅时，她那修长白皙的手指顺手撩起那燃烧般的红发。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0023	67	68	Script/scr1020.binu8	92515	92519	高い位置に退けられた毛束は、しかしすぐにずり下がって、思索に沈む頬に尖った影を落とす。	N	1020.gsc	96	被推到高处的鬓发很快就滑落下来，在陷入思索的脸颊上映出尖尖的阴影。	N
1020	high-candidate	type+length+bidirectional-continuity	0.3067	68	69	Script/scr1020.binu8	92649	92653	けれども少女は、未練がましい髪の毛に、もうそれ以上構おうとはしない。その視線は、ただひたすらに文字を追う。	N	1020.gsc	97	少女不再理会那恋恋不舍的鬓发。她的视线只是专注地追逐着文字。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1141	69	70	Script/scr1020.binu8	92813	92817	炎の最も明るいところを凝集させたような金色の瞳は、紙面が焦げかねないほどの激しい好奇の熱を帯びている。	N	1020.gsc	98	那凝集了火焰最明亮部分的金色眼眸，带着仿佛要将纸面烧焦般的强烈好奇心。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0392	70	71	Script/scr1020.binu8	92971	92975	書架用の脚立に腰をかけて、足を無造作に投げ出した姿勢は、お世辞にも行儀が良いとは言い難い。	N	1020.gsc	99	她坐在书架用的梯凳上，双脚漫不经心随意伸出，再怎么恭维也很难说符合礼仪。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0576	71	72	Script/scr1020.binu8	93111	93115	しかし、均整のとれた長身のせいか、あるいは知的な横顔のせいか、奔放ながらどこか気高さを感じさせる光景だった。	N	1020.gsc	100	但不知道是因为她匀称的身材，还是因为她知性的侧脸，这副光景虽然奔放不羁却又莫名显得高贵。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0731	72	73	Script/scr1020.binu8	93278	93282	やがて時間とともに図書室を訪れる者が増え、紙の音や低い囁きが静けさを汚しても、少女は依然として深い集中に沈んでいた。	N	1020.gsc	101	随着时间的流逝，访问图书室的人增加了，即使寂静被纸页声和窃窃私语所破坏，少女依然沉浸在专注之中。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0981	73	74	Script/scr1020.binu8	93457	93461	と──そこに足音とともに人影が訪れて、少女の眺める紙面を陰らせた。	N	1020.gsc	102	直到──一个人影伴随着脚步声来访，遮挡了少女所看的书页。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0471	74	75	Script/scr1020.binu8	93581	93585	@vv40101「あ、あの……ロビン」	D	1020.gsc	104	「那、那个……萝宾」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0473	75	76	Script/scr1020.binu8	93627	93631	呼び声は遠慮に満ちていたが、ロビンは苦々しい思いで目を細める。	N	1020.gsc	105	尽管这呼唤充满了顾虑，但萝宾还是痛苦地眯起了眼睛。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1570	76	77	Script/scr1020.binu8	93725	93729	どれだけ気遣いに溢れていようと、本との対話に割りこむ人間は、許しがたい邪魔者だ。	N	1020.gsc	106	不管是出于怎样的关心，任何打断萝宾与书本对话的人，都是难以原谅的妨碍者。	N
1020	high-candidate	type+length+bidirectional-continuity	0.3937	77	78	Script/scr1020.binu8	93850	93854	@vv30102「……何か？」	D	1020.gsc	108	「……有何贵干？」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0059	78	79	Script/scr1020.binu8	93884	93888	紙面に目を落としたままぶっきらぼうに応じる。ロビンの不機嫌を察知した相手が、軽く息を呑んだ気配がした。	N	1020.gsc	109	萝宾目不转睛地盯着纸面，粗鲁地回应。察觉到萝宾不高兴的对方，轻轻倒吸了一口气。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0162	79	80	Script/scr1020.binu8	94042	94046	それでも、その場を去るつもりはないらしい。ロビンの上に落ちた影が身じろいで、わずかに声を震わせながら、続ける。	N	1020.gsc	110	尽管如此，她似乎仍旧不打算离开。落在萝宾身上的影子轻轻颤动，连着声音也在颤抖着继续说。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	80	81	Script/scr1020.binu8	94212	94216	@vv40102「邪魔してしまってごめんなさい。少しだけ手を貸してほしいの。本を探していて……」	D	1020.gsc	112	「很抱歉打扰你了。但我需要你帮一点忙。我在找一本书……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0623	81	82	Script/scr1020.binu8	94345	94349	@vv30103「本当に悪いと思ってる？」	D	1020.gsc	114	「你真的有觉得抱歉吗？」	D
1020	high-candidate	type+length+bidirectional-continuity	0.2485	82	83	Script/scr1020.binu8	94397	94401	ロビンは本から顔を上げ、相手を見つめた。	N	1020.gsc	115	萝宾抬起头，凝视着对方。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0043	83	84	Script/scr1020.binu8	94462	94466	最初に声をかけられた時から──いや、控えめな足音が近づいてきた時から、誰なのかはわかっていた。	N	1020.gsc	116	从最初的搭话开始──不，从收敛着的脚步声靠近的那一刻起，她就知道是谁了。	N
1020	high-candidate	type+length+bidirectional-continuity	0.2485	84	85	Script/scr1020.binu8	94608	94612	キャナリーはいつも、こんなふうに慎ましい態度で、ロビンの集中を乱しにくるのだ。本人が望んだわけではないにせよ。	N	1020.gsc	117	卡娜莉总是以这种慎重的态度来扰乱萝宾的注意力。尽管她本人并非此意。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1424	85	86	Script/scr1020.binu8	94778	94782	@vv40103「あ……」	D	1020.gsc	119	「啊……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1111	86	87	Script/scr1020.binu8	94806	94810	ロビンの鋭いまなざしに出会うと、いつも夕暮れの湖面のように潤んでいる@r菫色@すみれいろ@の瞳は、物悲しい@r翳@かげ@りを濃くして伏せられた。	N	1020.gsc	120	每当与萝宾锐利的目光相遇时，卡娜莉那总是如黄昏湖面温润的紫罗兰色瞳仁里，就会深埋上一层悲伤的阴影。	N
1020	high-candidate	type+length+bidirectional-continuity	0.1123	87	88	Script/scr1020.binu8	95011	95015	栗色の柔らかい髪に縁取られた、百合のような白い@r顔@かんばせ@。今にも消え入りそうな風情で縮こまる華奢な肢体。	N	1020.gsc	121	柔顺的栗色头发缘饰着如百合般白皙的脸庞。缩成一团的身体纤弱而梦幻。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0155	88	89	Script/scr1020.binu8	95176	95180	故郷に帰る術を失った妖精のような、美しさと儚さとを宿した少女だ。	N	1020.gsc	122	如同失去了返乡之术的精灵，寄宿着美丽与虚幻的少女。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0709	89	90	Script/scr1020.binu8	95277	95281	@vv40104「ええ、思ってるわ。でも私だけじゃどうしても力不足で……」	D	1020.gsc	124	「嗯，我真的有觉得抱歉。但是我一个人实在力不从心……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1431	90	91	Script/scr1020.binu8	95377	95381	ロビンは何かを察した様子で、視線をキャナリーの肩越しに投げかけた。	N	1020.gsc	125	萝宾似乎察觉到了什么，视线越过卡娜莉的肩膀。	N
1020	high-candidate	type+length+bidirectional-continuity	0.2288	91	92	Script/scr1020.binu8	95481	95485	予想していたとおり、そこには一般クラスの生徒が立っていた。油断しきっていたその立ち姿は、ロビンの@r一瞥@いちべつ@に@r竦@すく@んで、たちまち居住まいを正す。	N	1020.gsc	126	和预想的一样，在那里站着普通班的学生。那略显休闲的站姿在萝宾的一瞥后立刻端正起来。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	92	93	Script/scr1020.binu8	95713	95717	@vv40105「生物駆動の参考書を探しているの。オオアリクイについてよ」	D	1020.gsc	128	「我在找关于生物驱动的参考书。关于大食蚁兽的」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1570	93	94	Script/scr1020.binu8	95813	95817	背で生徒の@r萎縮@いしゅく@を感じとったのか、庇うようにキャナリーが言う。	N	1020.gsc	129	可能是察觉到身后学生的畏缩，卡娜莉像是在庇护她般说道。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	94	95	Script/scr1020.binu8	95924	95928	@vv40106「もちろん該当する棚は探したわ。でも彼女の知りたいことについては、どこにも見当たらなくて。むしろ機械造学の範疇かもしれない」	D	1020.gsc	131	「该找的书架当然都找过了。但是她想了解的内容，无论如何都找不到。不如说那可能是机械造学的范畴了」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0361	95	96	Script/scr1020.binu8	96123	96127	ロビンはキャナリーではなく、生徒のほうに目をやりながら言った。	N	1020.gsc	132	萝宾不是看着卡娜莉，而是对着她身后的学生说道。	N
1020	high-candidate	type+length+bidirectional-continuity	0.0000	96	97	Script/scr1020.binu8	96221	96225	@vv30104「手を止めてまで協力しろというのなら、相応の礼はもらうよ」	D	1020.gsc	134	「要我停下来帮你的话，我就要收取相应的谢礼哦」	D
1020	high-candidate	type+length+bidirectional-continuity	0.1424	97	98	Script/scr1020.binu8	96321	96325	@vv40107「お礼……」	D	1020.gsc	136	「谢礼……」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0000	98	99	Script/scr1020.binu8	96352	96356	@vv40108「ええ、そうよね。もちろんお礼はするわ。私にできることなら……何がいいかしら？」	D	1020.gsc	138	「嗯，说得是呢。当然得要给谢礼呢。只要我能做到的……什么比较好呢？」	D
1020	high-candidate	type+length+bidirectional-continuity	0.0661	99	100	Script/scr1020.binu8	96485	96489	戸惑いながらも「お礼」について考えを巡らせはじめたキャナリーだったが、すぐさま生徒の声が割りこんだ。	N	1020.gsc	139	卡娜莉在困惑中开始思考「谢礼」的事情，但很快就被那名学生的声音给打断了。	N
